date, pm10, o3, no2, so2, co
2019/4/10, 35, 27, , 2, 
2019/4/11, 32, 24, , 2, 
2019/4/12, 29, 22, , 2, 
2019/4/13, 44, 38, , 4, 
2019/4/14, 39, 38, , 4, 
2019/4/15, 32, 40, , 4, 
2019/4/16, 33, 31, , 4, 
2019/4/17, 33, 39, , 4, 
2019/4/18, 37, 46, , 3, 
2019/4/19, 35, 49, , 4, 
2019/4/20, 29, 48, , 5, 
2019/4/21, 26, 41, , 3, 
2019/4/22, 22, 41, , 2, 
2019/4/23, 18, 37, , 2, 
2019/4/24, 25, 41, , 2, 
2019/4/25, 31, 41, , 1, 
2019/4/26, 43, 32, , 1, 
2019/4/27, 19, 25, , 1, 
2019/4/28, 16, 23, , 1, 
2019/4/29, 14, 22, , , 
2019/4/30, 20, 43, , 1, 
2019/5/1, 26, 43, , 2, 
2019/5/2, 24, 29, , 2, 
2019/5/3, 24, 34, , 2, 
2019/5/4, 20, 23, , 2, 
2019/5/5, 19, 27, , 3, 
2019/5/6, 20, 30, , 2, 
2019/5/7, 22, 39, , 1, 
2019/5/8, 21, 39, , 1, 
2019/5/9, 20, 23, , 2, 
2019/5/10, 15, 39, , 1, 
2019/5/11, 19, 24, , 1, 
2019/5/12, 18, 27, , 2, 
2019/5/13, 16, 26, , 1, 
2019/5/14, 18, 12, , 1, 
2019/5/15, 15, 17, , 2, 
2019/5/16, 24, 25, , 2, 
2019/5/17, 28, 32, , 1, 
2019/5/18, 20, 32, , , 
2019/5/19, 16, 38, , , 
2019/5/20, 14, 33, , , 
2019/5/21, 14, 31, , , 
2019/5/22, 10, 19, , , 
2019/5/23, 13, 23, , 1, 
2019/5/24, 21, 47, , 1, 
2019/5/25, 21, 46, , 1, 
2019/5/26, 21, 42, , 1, 
2019/5/27, 20, 30, , , 
2019/5/28, 14, 23, , 1, 
2019/5/29, 18, 21, , 1, 
2019/5/30, 21, 41, , 2, 
2019/5/31, 20, 32, , 2, 
2019/6/1, 25, 37, , 1, 
2019/6/2, 19, 37, , 1, 
2019/6/3, 19, 38, , 1, 
2019/6/4, 21, 39, , 1, 
2019/6/5, 20, 38, , , 
2019/6/6, 14, 45, , , 
2019/6/7, 16, 29, , , 
2019/6/8, 17, 41, , , 
2019/6/9, 15, 41, , , 
2019/6/10, 21, 40, , , 
2019/6/11, 19, 40, , , 
2019/6/12, 19, 42, , , 
2019/6/13, 23, 52, , , 
2019/6/14, 31, 42, , , 
2019/6/15, 31, 39, , 1, 
2019/6/16, 21, 43, , 2, 
2019/6/17, 19, 41, , , 
2019/6/18, 20, 38, , , 
2019/6/19, 19, 33, , , 
2019/6/20, 13, 39, , 1, 
2019/6/21, 15, 33, , 1, 
2019/6/22, 16, 35, , 1, 
2019/6/23, 16, 42, , 1, 
2019/6/24, 16, 39, , , 
2019/6/25, 20, 46, , , 
2019/6/26, 21, 51, , 1, 
2019/6/27, 24, 36, , 1, 
2019/6/28, 18, 42, , 1, 
2019/6/29, 18, 41, , 1, 
2019/6/30, 15, 58, , 1, 
2019/1/1, 18, 26, , 3, 
2019/1/2, 14, 25, , 3, 
2019/1/3, 18, 21, , 5, 
2019/1/4, 28, 20, , 4, 
2019/1/5, 19, 24, , 4, 
2019/1/6, 16, 18, , 11, 
2019/1/7, 47, 20, , 2, 
2019/1/8, 15, 18, , 8, 
2019/1/9, 47, 6, , 15, 
2019/1/10, 75, 17, , 9, 
2019/1/11, 44, 22, , 5, 
2019/1/12, 20, 22, , 3, 
2019/1/13, 6, 26, , 3, 
2019/1/14, 14, 26, , 4, 
2019/1/15, 14, 20, , 3, 
2019/1/16, 10, 28, , 2, 
2019/1/17, 12, 26, , 3, 
2019/1/18, 15, 20, , 9, 
2019/1/19, 53, 14, , 16, 
2019/1/20, 94, 6, , 23, 
2019/1/21, 142, 15, , 19, 
2019/1/22, 108, 16, , 11, 
2019/1/23, 78, 18, , 8, 
2019/1/24, 45, 16, , 11, 
2019/1/25, 51, 17, , 7, 
2019/1/26, 39, 28, , 4, 
2019/1/27, 17, 29, , 8, 
2019/1/28, 46, 20, , 5, 
2019/1/29, 21, 14, , 12, 
2019/1/30, 59, 19, , 11, 
2019/1/31, 55, 27, , 5, 
2019/2/1, 22, 29, , 3, 
2019/2/2, 14, 20, , 4, 
2019/2/3, 34, 12, , 5, 
2019/2/6, 50, 30, , 5, 
2019/2/7, 31, 28, , 5, 
2019/2/8, 37, 31, , 3, 
2019/2/9, 20, 35, , 2, 
2019/2/10, 19, 30, , 2, 
2019/2/11, 14, 25, , 3, 
2019/2/12, 20, 23, , 4, 
2019/2/13, 19, 18, , 4, 
2019/2/14, 31, 18, , 5, 
2019/2/15, 44, 19, , 8, 
2019/2/16, 45, 26, , 6, 
2019/2/17, 44, 25, , 7, 
2019/2/18, 50, 34, , 5, 
2019/2/19, 40, 25, , 4, 
2019/2/20, 27, 25, , 4, 
2019/2/21, 24, 27, , 2, 
2019/2/22, 19, 25, , 7, 
2019/2/23, 41, 28, , 9, 
2019/2/24, 42, 24, , 9, 
2019/2/25, 42, 20, , 4, 
2019/2/26, 42, 22, , 6, 
2019/2/27, 45, 29, , 4, 
2019/2/28, 35, 23, , 2, 
2019/3/1, 57, 22, , 7, 
2019/3/2, 48, 26, , 2, 
2019/3/3, 19, 35, , 1, 
2019/3/4, 14, 34, , 2, 
2019/3/5, 13, 30, , 2, 
2019/3/6, 16, 36, , 2, 
2019/3/7, 18, 33, , 2, 
2019/3/8, 13, 32, , 1, 
2019/3/9, 10, 35, , 2, 
2019/3/10, 10, 33, , 2, 
2019/3/11, 14, 29, , 2, 
2019/3/12, 18, 32, , 1, 
2019/3/13, 14, 30, , 1, 
