date,pm10,o3,no2,so2,co,city,pm25
2017-8-13,,, 19,, 4,wroclaw, 18
2017-8-14,,, 19,, 3,wroclaw, 29
2017-8-15,,, 23,, 5,wroclaw, 28
2017-8-16,,, 26,, 5,wroclaw, 49
2017-8-17,,, 26,, 5,wroclaw, 35
2017-8-18,,, 16,, 4,wroclaw, 58
2017-8-22,,, 21,, 4,wroclaw, 29
2017-8-23,,, 27,, 4,wroclaw, 39
2017-8-24,,, 32,, 7,wroclaw, 57
2017-8-25,,, 30,, 6,wroclaw, 80
2017-8-26,,, 14,, 4,wroclaw, 77
2017-8-27,,, 24,, 5,wroclaw, 56
2017-8-28,,, 28,, 5,wroclaw, 50
2017-8-29,,, 29,, 5,wroclaw, 53
2017-8-30,,, 26,, 5,wroclaw, 53
2017-8-31,,, 18,, 4,wroclaw, 50
2017-9-1,,, 16,, 4,wroclaw, 32
2017-9-2,,, 11,, 3,wroclaw, 30
2017-9-3,,, 20,, 4,wroclaw, 34
2017-9-4,,, 20,, 4,wroclaw, 44
2017-9-5,,,,,,wroclaw, 46
2017-9-10,,, 22,, 6,wroclaw, 27
2017-9-11,,, 23,, 6,wroclaw, 46
2017-9-12,,, 16,, 4,wroclaw, 51
2017-9-13,,, 20,, 4,wroclaw, 31
2017-9-14,,, 21,, 4,wroclaw, 32
2017-9-15,,, 22,, 6,wroclaw, 40
2017-9-16,,, 17,, 5,wroclaw, 60
2017-9-17,,, 25,, 5,wroclaw, 69
2017-9-18,,, 31,, 8,wroclaw, 52
2017-9-19,,, 25,, 5,wroclaw, 76
2017-9-20,,, 18,, 4,wroclaw, 73
2017-9-21,,, 23,, 6,wroclaw, 53
2017-9-22,,, 17,, 5,wroclaw, 59
2017-9-23,,, 16,, 6,wroclaw, 53
2017-9-24,,, 24,, 6,wroclaw, 58
2017-9-25,,, 21,, 8,wroclaw, 64
2017-9-26,,, 24,, 7,wroclaw, 85
2017-9-27,,, 27,, 6,wroclaw, 86
2017-9-28,,, 27,, 7,wroclaw, 80
2017-9-29,,, 22,, 7,wroclaw, 94
2017-9-30,,, 20,, 6,wroclaw, 90
2017-4-1,,, 18,, 4,wroclaw, 60
2017-4-2,,, 32,, 6,wroclaw, 59
2017-4-3,,, 21,, 5,wroclaw, 71
2017-4-4,,, 17,, 4,wroclaw, 98
2017-4-5,,, 19,, 3,wroclaw, 101
2017-4-6,,, 20,, 4,wroclaw, 33
2017-4-7,,, 18,, 4,wroclaw, 32
2017-4-8,,, 19,, 5,wroclaw, 48
2017-4-9,,, 24,, 4,wroclaw, 73
2017-4-10,,, 16,, 3,wroclaw, 58
2017-4-11,,, 23,, 4,wroclaw, 29
2017-4-12,,, 17,, 3,wroclaw, 45
2017-4-13,,, 20,, 3,wroclaw, 35
