date, pm25, pm10, o3, no2, so2, co
2020/4/10, , , , 9, , 3
2020/4/11, , , , 4, , 4
2020/4/12, , , , 5, , 3
2020/4/13, , , , 2, , 3
2020/4/14, , , , 4, , 4
2020/4/15, , , , 6, , 4
2020/4/16, , , , 6, , 4
2020/4/17, , , , 6, , 4
2020/4/18, , , , 3, , 4
2020/4/19, , , , 2, , 4
2020/4/20, , , , 5, , 4
2020/4/21, , , , 3, , 5
2020/4/22, , , , 6, , 5
2020/4/23, , , , 10, , 5
2020/4/24, , , , 14, , 4
2020/4/25, , , , 3, , 5
2020/4/26, , , , 7, , 6
2020/4/27, , , , 15, , 5
2020/4/28, , , , 10, , 5
2020/4/29, , , , 4, , 5
2020/4/30, , , , 6, , 5
2020/5/1, , , , 4, , 5
2020/5/2, , , , 3, , 5
2020/5/3, , , , 5, , 6
2020/5/4, , , , 11, , 2
2020/5/5, , , , 5, , 1
2020/5/6, , , , 5, , 1
2020/5/7, , , , 8, , 2
2020/5/8, , , , 10, , 2
2020/5/9, , , , 9, , 2
2020/5/10, , , , 5, , 2
2020/5/11, , , , 4, , 2
2020/5/12, , , , 6, , 2
2020/5/13, , , , 9, , 2
2020/5/14, , , , 8, , 2
2020/5/15, , , , 9, , 2
2020/5/16, , , , 5, , 2
2020/5/17, , , , 5, , 2
2020/5/18, , , , 9, , 3
2020/5/19, , , , 11, , 2
2020/5/20, , , , 8, , 2
2020/5/21, , , , 5, , 2
2020/5/22, , , , 7, , 3
2020/5/23, , , , 9, , 2
2020/5/24, , , , 2, , 3
2020/5/25, , , , 6, , 3
2020/5/26, , , , 6, , 3
2020/5/27, , , , 10, , 3
2020/5/28, , , , 7, , 2
2020/5/29, , , , 4, , 2
2020/5/30, , , , 3, , 2
2020/5/31, , , , 2, , 2
2020/6/1, , , , 5, , 3
2020/6/2, , , , 8, , 2
2020/6/3, , , , 6, , 3
2020/6/4, , , , 7, , 3
2020/6/5, , , , 9, , 3
2020/6/6, , , , 3, , 3
2020/6/7, , , , 4, , 3
2020/6/8, , , , 7, , 3
2020/6/9, , , , 5, , 3
